종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"072870","메가스터디","KOSDAQ","출판·매체복제","11090","-10","-0.09","132203435310"
"215200","메가스터디교육","KOSDAQ","일반서비스","42100","-50","-0.12","482548305500"
"133750","메가엠디","KOSDAQ","일반서비스","1998","-2","-0.10","46767339846"
"446540","메가터치","KOSDAQ","전기·전자","4040","-5","-0.12","83914840000"
"235980","메드팩토","KOSDAQ","일반서비스","5450","-170","-3.02","183014787750"
"041920","메디아나","KOSDAQ","의료·정밀기기","4465","-125","-2.72","83041065695"
"014100","메디앙스","KOSDAQ","유통","2215","0","0.00","26137000000"
"054180","메디콕스","KOSDAQ","운송장비·부품","321","-34","-9.58","18899928843"
"086900","메디톡스","KOSDAQ","제약","170100","-3700","-2.13","1241474339700"
"078160","메디포스트","KOSDAQ","제약","6580","-140","-2.08","225153025300"
"408920","메쎄이상","KOSDAQ","일반서비스","2160","-10","-0.46","93382102800"
"021880","메이슨캐피탈","KOSDAQ","금융","308","-2","-0.65","46872797664"
"140410","메지온","KOSDAQ","일반서비스","30250","-400","-1.31","906257269500"
"241770","메카로","KOSDAQ","전기·전자","7600","-50","-0.65","77464064000"
"059210","메타바이오메드","KOSDAQ","제약","3855","-60","-1.53","91989363105"
"058110","멕아이씨에스","KOSDAQ","의료·정밀기기","2500","-10","-0.40","40126325000"
"434480","모니터랩","KOSDAQ","출판·매체복제","3700","-50","-1.33","45337210000"
"080420","모다이노칩","KOSDAQ","유통","1910","-10","-0.52","152268298020"
"417970","모델솔루션","KOSDAQ","기계·장비","9320","-80","-0.85","59617244000"
"080160","모두투어","KOSDAQ","일반서비스","9850","-90","-0.91","186165000000"
"087260","모바일어플라이언스","KOSDAQ","출판·매체복제","2085","-75","-3.47","67872715185"
"101330","모베이스","KOSDAQ","전기·전자","3085","-15","-0.48","71408584465"
"012860","모베이스전자","KOSDAQ","운송장비·부품","1750","5","0.29","128158549750"
"363260","모비데이즈","KOSDAQ","일반서비스","2680","40","1.52","86198900920"
"348030","모비릭스","KOSDAQ","출판·매체복제","5090","-150","-2.86","48883342000"
"250060","모비스","KOSDAQ","일반서비스","3170","-60","-1.86","101983065380"
"288980","모아데이타","KOSDAQ","출판·매체복제","1686","95","5.97","58262363532"
"142760","모아라이프플러스","KOSDAQ","일반서비스","1293","-9","-0.69","48791110623"
"033200","모아텍","KOSDAQ","전기·전자","3125","-65","-2.04","44784953125"
"333050","모코엠시스","KOSDAQ","출판·매체복제","1251","-28","-2.19","30579851826"
"118990","모트렉스","KOSDAQ","운송장비·부품","9950","-50","-0.50","247376800500"
