NO,기업명,기업코드,ESG등급,환경,사회,지배구조,년도,첨부
1272,비씨카드,837726,등급없음,등급없음,등급없음,B,2024,
1271,비에이치,090460,C,B+,A,D,2023,pdf 다운로드
1270,비에이치,090460,C,B,B+,C,2024,pdf 다운로드
1269,비엠더블유파이낸셜서비스코리아,878437,등급없음,등급없음,등급없음,C,2023,
1268,비엠더블유파이낸셜서비스코리아,878437,등급없음,등급없음,등급없음,C,2024,
1267,비케이탑스,030790,D,D,D,D,2023,pdf 다운로드
1266,빙그레,005180,A,A,A+,B+,2023,pdf 다운로드
1265,빙그레,005180,A,A,A+,A,2024,pdf 다운로드
1264,사람인,143240,C,D,C,C,2023,pdf 다운로드
1263,사람인,143240,C,D,C,C,2024,pdf 다운로드
1262,사조대림,003960,B,B+,A,C,2023,pdf 다운로드
1261,사조대림,003960,A,A,A,B+,2024,pdf 다운로드
1260,사조동아원,008040,C,B+,B,C,2023,pdf 다운로드
1259,사조동아원,008040,B,B+,A,C,2024,pdf 다운로드
1258,사조산업,007160,B,B+,B+,C,2023,pdf 다운로드
1257,사조산업,007160,B+,B+,B+,B+,2024,pdf 다운로드
1256,사조씨푸드,014710,B,B,B+,B,2023,pdf 다운로드
1255,사조씨푸드,014710,B,C,B+,B,2024,pdf 다운로드
1254,사조오양,006090,C,B,B+,C,2023,pdf 다운로드
1253,사조오양,006090,B,B+,A,C,2024,pdf 다운로드
1252,산은캐피탈,008270,등급없음,등급없음,등급없음,B,2023,
1251,산은캐피탈,008270,등급없음,등급없음,등급없음,B,2024,
1250,삼부토건,001470,C,C,C,C,2023,pdf 다운로드
1249,삼부토건,001470,D,C,C,D,2024,pdf 다운로드
1248,삼성E&A,028050,A,A+,A+,A,2023,pdf 다운로드
1247,삼성E&A,028050,A,A,A,A,2024,pdf 다운로드
1246,삼성SDI,006400,A,A+,A+,B+,2023,pdf 다운로드
1245,삼성SDI,006400,A+,A+,A+,A,2024,pdf 다운로드
1244,삼성공조,006660,C,C,C,C,2023,pdf 다운로드
1243,삼성공조,006660,D,D,C,C,2024,pdf 다운로드
1242,삼성물산,028260,A+,A+,A+,A+,2023,pdf 다운로드
1241,삼성물산,028260,A,A,A+,A,2024,pdf 다운로드
1240,삼성바이오로직스,207940,A+,A,A,A+,2023,pdf 다운로드
1239,삼성바이오로직스,207940,A,A,A+,A,2024,pdf 다운로드
1238,삼성생명,032830,A,A+,A+,B+,2023,pdf 다운로드
1237,삼성생명,032830,A,A,A+,B+,2024,pdf 다운로드
1236,삼성에스디에스,018260,A,A,A+,B+,2023,pdf 다운로드
1235,삼성에스디에스,018260,A,B+,A+,A,2024,pdf 다운로드
1234,삼성전기,009150,A,A,A+,A,2023,pdf 다운로드
1233,삼성전기,009150,A,A,A+,A,2024,pdf 다운로드
1232,삼성전자,005930,A,A,A+,B+,2023,pdf 다운로드
1231,삼성전자,005930,B+,B+,A,B,2024,pdf 다운로드
1230,삼성제약,001360,D,D,D,C,2023,pdf 다운로드
1229,삼성제약,001360,D,D,D,D,2024,pdf 다운로드
1228,삼성중공업,010140,A,A,A+,B+,2023,pdf 다운로드
1227,삼성중공업,010140,A,A,A,B+,2024,pdf 다운로드
1226,삼성증권,016360,B+,A,A+,B,2023,pdf 다운로드
1225,삼성증권,016360,A,A+,A,B+,2024,pdf 다운로드
1224,삼성출판사,068290,C,D,D,B,2023,pdf 다운로드
1223,삼성출판사,068290,C,D,D,B+,2024,pdf 다운로드
1222,삼성카드,029780,A,A+,A+,A,2023,pdf 다운로드
1221,삼성카드,029780,A,A+,A+,A,2024,pdf 다운로드
1220,삼성화재해상보험,000810,A,A,A+,A,2023,pdf 다운로드
1219,삼성화재해상보험,000810,B+,A,A,B+,2024,pdf 다운로드
1218,삼아알미늄,006110,C,C,D,C,2023,pdf 다운로드
1217,삼아알미늄,006110,C,C,D,C,2024,pdf 다운로드
1216,삼양사,145990,B+,A+,A,B,2023,pdf 다운로드
1215,삼양사,145990,A,A+,A+,B+,2024,pdf 다운로드
1214,삼양식품,003230,A,A,A+,A,2023,pdf 다운로드
1213,삼양식품,003230,A,A,A+,A,2024,pdf 다운로드
1212,삼양통상,002170,C,C,D,B+,2023,pdf 다운로드
1211,삼양통상,002170,C,C,D,B,2024,pdf 다운로드
1210,삼양패키징,272550,B,B+,B+,C,2023,pdf 다운로드
1209,삼양패키징,272550,B,A,A,C,2024,pdf 다운로드
1208,삼양홀딩스,000070,B+,A,A,B+,2023,
1207,삼양홀딩스,000070,A,A,A+,B+,2024,pdf 다운로드
1206,삼영,003720,C,C,D,C,2023,pdf 다운로드
1205,삼영,003720,D,C,D,D,2024,pdf 다운로드
1204,삼영무역,002810,C,D,D,B+,2023,pdf 다운로드
1203,삼영무역,002810,C,D,D,B+,2024,pdf 다운로드
1202,삼영전자공업,005680,D,C,C,D,2023,pdf 다운로드
1201,삼영전자공업,005680,C,C,D,C,2024,pdf 다운로드
1200,삼원강재,023000,B,B,B,B+,2023,pdf 다운로드
1199,삼원강재,023000,B+,B+,B+,A,2024,pdf 다운로드
1198,삼익THK,004380,C,C,C,B,2023,pdf 다운로드
1197,삼익THK,004380,C,C,C,B,2024,pdf 다운로드
1196,삼익악기,002450,C,C,D,C,2023,pdf 다운로드
1195,삼익악기,002450,D,D,D,D,2024,pdf 다운로드
1194,삼일씨엔에스,004440,D,C,D,D,2023,pdf 다운로드
1193,삼일씨엔에스,004440,C,C,D,C,2024,pdf 다운로드
1192,삼일제약,000520,C,D,C,C,2023,pdf 다운로드
1191,삼일제약,000520,C,D,C,B,2024,pdf 다운로드
1190,삼정펄프,009770,D,C,C,D,2023,pdf 다운로드
1189,삼정펄프,009770,D,C,D,D,2024,pdf 다운로드
1188,삼진제약,005500,C,D,D,B+,2023,pdf 다운로드
1187,삼진제약,005500,B,C,B,B+,2024,pdf 다운로드
1186,삼천당제약,000250,D,D,D,D,2023,pdf 다운로드
1185,삼천당제약,000250,D,C,D,D,2024,pdf 다운로드
1184,삼천리,004690,C,B,B,C,2023,pdf 다운로드
1183,삼천리,004690,C,B,B+,C,2024,pdf 다운로드
1182,삼표시멘트,038500,A,A,A+,A,2023,pdf 다운로드
1181,삼표시멘트,038500,A,A,A+,A,2024,pdf 다운로드
1180,삼호개발,010960,B+,B,A,B+,2023,pdf 다운로드
1179,삼호개발,010960,B+,B+,A,B+,2024,pdf 다운로드
1178,삼화왕관,004450,D,C,D,D,2023,pdf 다운로드
1177,삼화왕관,004450,C,C,D,C,2024,pdf 다운로드
1176,삼화전기,009470,D,C,C,D,2023,pdf 다운로드
1175,삼화전기,009470,D,C,C,D,2024,pdf 다운로드
1174,삼화전자공업,011230,D,D,D,D,2023,pdf 다운로드
1173,삼화전자공업,011230,D,D,D,D,2024,pdf 다운로드
1172,삼화콘덴서공업,001820,D,C,C,D,2023,pdf 다운로드
1171,삼화콘덴서공업,001820,C,C,C,C,2024,pdf 다운로드
1170,삼화페인트공업,000390,B+,B+,A,B+,2023,pdf 다운로드
1169,삼화페인트공업,000390,B+,B+,B+,B+,2024,pdf 다운로드
1168,상상인,038540,D,D,C,D,2023,pdf 다운로드
1167,상상인증권,001290,D,D,C,D,2023,pdf 다운로드
1166,상상인증권,001290,C,D,C,C,2024,pdf 다운로드
1165,상신브레이크,041650,C,D,B,C,2023,pdf 다운로드
1164,상신브레이크,041650,C,C,C,C,2024,pdf 다운로드
1163,상아프론테크,089980,C,B,B,D,2023,pdf 다운로드
1162,상아프론테크,089980,B,B+,B+,C,2024,pdf 다운로드
1161,새론오토모티브,075180,D,C,D,D,2023,pdf 다운로드
1160,새론오토모티브,075180,D,C,D,D,2024,pdf 다운로드
1159,샘표,007540,C,C,B,D,2023,
1158,샘표,007540,C,C,B+,C,2024,pdf 다운로드
1157,샘표식품,248170,C,C,B,D,2023,pdf 다운로드
1156,샘표식품,248170,C,C,B+,D,2024,pdf 다운로드
1155,서부T&D,006730,D,D,D,D,2023,pdf 다운로드
1154,서부T&D,006730,D,C,D,D,2024,pdf 다운로드
1153,서연,007860,B+,B+,A,B+,2023,
1152,서연,007860,B+,B+,A,B+,2024,pdf 다운로드
1151,서연이화,200880,B+,B+,A,B,2023,pdf 다운로드
1150,서연이화,200880,B+,B+,A,B+,2024,pdf 다운로드
1149,서울도시가스,017390,C,C,B,C,2023,pdf 다운로드
1148,서울도시가스,017390,C,C,C,C,2024,pdf 다운로드
1147,서울반도체,046890,C,C,B,C,2023,pdf 다운로드
1146,서울반도체,046890,C,C,D,C,2024,pdf 다운로드
1145,서울보증보험,813002,등급없음,등급없음,등급없음,B,2023,
1144,서울보증보험,813002,등급없음,등급없음,등급없음,B,2024,
1143,서울식품공업,004410,D,C,D,D,2023,pdf 다운로드
1142,서울식품공업,004410,D,C,D,D,2024,pdf 다운로드
1141,서원,021050,C,C,D,C,2023,pdf 다운로드
1140,서원,021050,C,C,D,C,2024,pdf 다운로드
1139,서진시스템,178320,D,C,D,D,2023,pdf 다운로드
1138,서진시스템,178320,D,C,C,D,2024,pdf 다운로드
1137,서흥,008490,B+,B+,A,B,2023,pdf 다운로드
1136,서흥,008490,C,B+,A,D,2024,pdf 다운로드
1135,선도전기,007610,D,C,C,D,2023,pdf 다운로드
1134,선도전기,007610,D,C,C,D,2024,pdf 다운로드
1133,선진,136490,B+,C,B,A,2023,pdf 다운로드
1132,선진,136490,A,B,A,A,2024,pdf 다운로드
1131,성문전자,014910,C,C,D,C,2023,pdf 다운로드
1130,성문전자,014910,D,C,D,D,2024,pdf 다운로드
1129,성보화학,003080,D,D,C,C,2023,pdf 다운로드
1128,성신양회,004980,B,B,A,C,2023,pdf 다운로드
1127,성신양회,004980,C,B+,A,D,2024,pdf 다운로드
1126,성안머티리얼스,011300,D,D,D,D,2023,pdf 다운로드
1125,성안머티리얼스,011300,D,D,D,D,2024,pdf 다운로드
1124,성우하이텍,015750,D,D,C,D,2023,pdf 다운로드
1123,성우하이텍,015750,C,B,A,D,2024,pdf 다운로드
1122,성일하이텍,365340,C,C,C,C,2024,pdf 다운로드
1121,성창기업지주,000180,D,D,D,C,2023,pdf 다운로드
1120,성창기업지주,000180,D,C,D,D,2024,pdf 다운로드
1119,세기상사,002420,C,D,D,B,2023,pdf 다운로드
1118,세기상사,002420,C,D,D,B,2024,pdf 다운로드
1117,세방,004360,B+,B+,B+,B,2023,pdf 다운로드
1116,세방,004360,C,B,C,C,2024,pdf 다운로드
1115,세방전지,004490,C,C,C,C,2023,pdf 다운로드
1114,세방전지,004490,C,C,C,C,2024,pdf 다운로드
1113,세아베스틸지주,001430,A,A,A,A,2023,pdf 다운로드
1112,세아베스틸지주,001430,A,A,B+,A,2024,pdf 다운로드
1111,세아제강,306200,A,B+,A,A,2023,pdf 다운로드
1110,세아제강,306200,B+,B+,B+,B+,2024,pdf 다운로드
1109,세아제강지주,003030,B+,B+,A,B+,2023,
1108,세아제강지주,003030,B+,B+,B+,B+,2024,pdf 다운로드
1107,세아특수강,019440,A,B+,A,A,2023,pdf 다운로드
1106,세아특수강,019440,B+,B+,B+,B+,2024,pdf 다운로드
1105,세아홀딩스,058650,B+,A,A+,B,2023,
1104,세아홀딩스,058650,B+,A,A,B+,2024,pdf 다운로드
1103,세우글로벌,013000,D,D,D,D,2023,pdf 다운로드
1102,세우글로벌,013000,D,D,D,D,2024,pdf 다운로드
1101,세원이앤씨,091090,D,D,D,D,2023,pdf 다운로드
1100,세원이앤씨,091090,D,D,D,D,2024,pdf 다운로드
1099,세원정공,021820,C,C,C,C,2023,pdf 다운로드
1098,세원정공,021820,C,C,C,C,2024,pdf 다운로드
1097,세이브존I&C,067830,C,D,C,C,2023,pdf 다운로드
1096,세이브존I&C,067830,D,D,D,C,2024,pdf 다운로드
1095,세진중공업,075580,C,C,D,C,2023,pdf 다운로드
1094,세진중공업,075580,C,C,D,C,2024,pdf 다운로드
1093,셀리버리,268600,D,D,D,D,2023,pdf 다운로드
1092,셀바스AI,108860,D,D,D,D,2024,pdf 다운로드
1091,셀트리온,068270,B,B+,A+,C,2023,pdf 다운로드
1090,셀트리온,068270,A,A,A+,A,2024,pdf 다운로드
1089,셀트리온제약,068760,D,D,C,D,2023,pdf 다운로드
1088,셀트리온제약,068760,D,C,C,D,2024,pdf 다운로드
1087,셀트리온헬스케어,091990,C,C,B+,D,2023,pdf 다운로드
1086,솔루스첨단소재,336370,B,C,B+,B,2023,pdf 다운로드
1085,솔루스첨단소재,336370,B+,B,B+,B+,2024,pdf 다운로드
1084,솔루엠,248070,C,D,D,B,2023,pdf 다운로드
1083,솔루엠,248070,B+,B+,B+,B,2024,pdf 다운로드
1082,솔브레인,357780,B,B+,B+,C,2023,pdf 다운로드
1081,솔브레인,357780,B+,B+,A+,B,2024,pdf 다운로드
1080,솔브레인홀딩스,036830,C,B+,B+,D,2023,
1079,솔브레인홀딩스,036830,B+,B+,A+,B,2024,pdf 다운로드
1078,송원산업,004430,C,B+,B+,D,2023,pdf 다운로드
1077,송원산업,004430,C,B+,B+,D,2024,pdf 다운로드
1076,수산세보틱스,017550,D,C,D,D,2024,pdf 다운로드
1075,수산인더스트리,126720,C,C,D,C,2024,pdf 다운로드
1074,수산중공업,017550,C,C,D,B,2023,pdf 다운로드
1073,스타리츠,204210,D,D,D,C,2023,pdf 다운로드
1072,스타에스엠리츠,204210,D,D,D,D,2024,pdf 다운로드
1071,스튜디오드래곤,253450,B+,B+,A,B+,2023,pdf 다운로드
1070,스튜디오드래곤,253450,A,A+,A,B+,2024,pdf 다운로드
1069,스틱인베스트먼트,026890,B,C,A,B,2023,pdf 다운로드
1068,스틱인베스트먼트,026890,B+,B+,A,B,2024,pdf 다운로드
1067,시그네틱스,033170,D,C,C,D,2023,pdf 다운로드
1066,시그네틱스,033170,C,C,C,C,2024,pdf 다운로드
1065,시디즈,134790,D,C,D,D,2023,pdf 다운로드
1064,시디즈,134790,D,C,D,D,2024,pdf 다운로드
1063,시알홀딩스,000480,D,C,D,D,2023,pdf 다운로드
1062,시알홀딩스,000480,C,C,B,C,2024,pdf 다운로드
1061,신대양제지,016590,D,C,D,D,2023,pdf 다운로드
1060,신대양제지,016590,D,C,D,D,2024,pdf 다운로드
1059,신도리코,029530,C,C,D,C,2023,pdf 다운로드
1058,신도리코,029530,D,C,D,D,2024,pdf 다운로드
1057,신라교역,004970,D,D,D,C,2023,pdf 다운로드
1056,신라교역,004970,D,D,D,C,2024,pdf 다운로드
1055,신라젠,215600,C,D,D,B,2023,pdf 다운로드
1054,신라젠,215600,D,D,D,C,2024,pdf 다운로드
1053,신성델타테크,065350,C,C,D,B,2024,pdf 다운로드
1052,신성이엔지,011930,D,C,D,D,2023,pdf 다운로드
1051,신성이엔지,011930,C,C,C,C,2024,pdf 다운로드
1050,신성통상,005390,D,D,D,D,2023,pdf 다운로드
1049,신성통상,005390,D,D,D,D,2024,pdf 다운로드
1048,신세계,004170,A,A,A+,A,2023,pdf 다운로드
1047,신세계,004170,A,A,A+,A,2024,pdf 다운로드
1046,신세계I&C,035510,A,A,A+,A,2023,pdf 다운로드
1045,신세계I&C,035510,A,A,A+,A,2024,pdf 다운로드
1044,신세계건설,034300,B+,B+,A,B+,2023,pdf 다운로드
1043,신세계건설,034300,B+,B+,B+,B+,2024,pdf 다운로드
1042,신세계인터내셔날,031430,A,A,A,A,2023,pdf 다운로드
1041,신세계인터내셔날,031430,A,A,A,A,2024,pdf 다운로드
1040,신세계푸드,031440,A,B+,A,A,2023,pdf 다운로드
1039,신세계푸드,031440,A,A,A+,A,2024,pdf 다운로드
1038,신송홀딩스,006880,C,D,D,B,2023,pdf 다운로드
1037,신송홀딩스,006880,D,D,D,D,2024,pdf 다운로드
1036,신영와코루,005800,D,D,D,D,2023,pdf 다운로드
1035,신영와코루,005800,D,D,D,D,2024,pdf 다운로드
1034,신영증권,001720,B+,B,A,B+,2023,pdf 다운로드
1033,신영증권,001720,B+,B+,A,B+,2024,pdf 다운로드
1032,신원,009270,C,C,B,D,2023,pdf 다운로드
1031,신원,009270,B+,B,A,B+,2024,pdf 다운로드
1030,신일전자,002700,D,D,D,D,2023,pdf 다운로드
1029,신일전자,002700,D,D,D,C,2024,pdf 다운로드
1028,신풍,002870,D,D,D,C,2023,pdf 다운로드
1027,신풍,002870,D,D,D,C,2024,pdf 다운로드
1026,신풍제약,019170,D,D,D,D,2023,pdf 다운로드
1025,신풍제약,019170,C,C,B+,D,2024,pdf 다운로드
1024,신한라이프생명보험,828992,등급없음,등급없음,등급없음,A+,2023,
1023,신한라이프생명보험,828992,등급없음,등급없음,등급없음,A,2024,
1022,신한은행,000010,등급없음,등급없음,등급없음,B+,2023,
1021,신한은행,000010,등급없음,등급없음,등급없음,B+,2024,
1020,신한지주,055550,A+,A+,A+,A+,2023,pdf 다운로드
1019,신한지주,055550,A+,A+,A,A+,2024,pdf 다운로드
1018,신한카드,032710,등급없음,등급없음,등급없음,A,2023,
1017,신한카드,032710,등급없음,등급없음,등급없음,A,2024,
1016,신한캐피탈,811323,등급없음,등급없음,등급없음,B+,2023,
1015,신한캐피탈,811323,등급없음,등급없음,등급없음,A,2024,
1014,신한투자증권,008670,등급없음,등급없음,등급없음,A,2023,
1013,신한투자증권,008670,등급없음,등급없음,등급없음,A,2024,
1012,신화인터텍,056700,C,C,C,C,2023,pdf 다운로드
1011,신화인터텍,056700,C,C,C,B,2024,pdf 다운로드
1010,신흥,004080,C,D,C,C,2023,pdf 다운로드
1009,신흥,004080,D,D,D,D,2024,pdf 다운로드
1008,심텍,222800,B+,B+,B+,B,2023,pdf 다운로드
1007,심텍,222800,A,B+,A+,B+,2024,pdf 다운로드
1006,쌍방울,102280,D,D,D,D,2023,pdf 다운로드
1005,쌍방울,102280,D,D,D,D,2024,pdf 다운로드
1004,쌍용씨앤이,003410,B+,B+,B,A,2023,pdf 다운로드
1002,써니전자,004770,D,C,C,D,2023,pdf 다운로드
1001,써니전자,004770,D,C,D,D,2024,pdf 다운로드
1000,쎌마테라퓨틱스,015540,D,D,D,D,2023,pdf 다운로드
999,쏘카,403550,C,D,D,B,2024,pdf 다운로드
998,씨아이에스,222080,C,C,C,C,2023,pdf 다운로드
997,씨아이에스,222080,C,C,C,C,2024,pdf 다운로드
996,씨아이테크,004920,D,D,D,D,2023,pdf 다운로드
995,씨아이테크,004920,D,D,D,D,2024,pdf 다운로드
994,씨에스윈드,112610,A,B+,B+,A,2023,pdf 다운로드
993,씨에스윈드,112610,A,A,B+,A,2024,pdf 다운로드
992,씨젠,096530,B+,B+,B+,B+,2023,pdf 다운로드
991,씨젠,096530,B+,B,A,B+,2024,pdf 다운로드
990,씨티알모빌리티,308170,C,D,C,B,2023,pdf 다운로드
989,씨티알모빌리티,308170,B,B,C,B,2024,pdf 다운로드
988,아난티,025980,C,B+,C,D,2023,pdf 다운로드
987,아난티,025980,C,B,B,D,2024,pdf 다운로드
986,아남전자,008700,D,D,C,C,2023,pdf 다운로드
985,아남전자,008700,D,D,D,C,2024,pdf 다운로드
984,아모레퍼시픽,090430,A,A,A+,A,2023,pdf 다운로드
983,아모레퍼시픽,090430,A,A,A+,A,2024,pdf 다운로드
982,아모레퍼시픽홀딩스,002790,A,A,A+,A,2023,
981,아모레퍼시픽홀딩스,002790,A+,A,A+,A+,2024,pdf 다운로드
980,아미코젠,092040,B,B,B+,B,2023,pdf 다운로드
979,아세아,002030,A,B+,B+,A,2023,
978,아세아,002030,A,A,A,A,2024,pdf 다운로드
977,아세아시멘트,183190,B+,B+,A,B,2023,pdf 다운로드
976,아세아시멘트,183190,A,A,A,B+,2024,pdf 다운로드
975,아세아제지,002310,C,B,B+,D,2023,pdf 다운로드
974,아세아제지,002310,B+,B+,A,B,2024,pdf 다운로드
973,아센디오,012170,D,D,D,D,2023,pdf 다운로드
972,아센디오,012170,D,D,D,D,2024,pdf 다운로드
971,아시아나IDT,267850,D,C,C,D,2023,pdf 다운로드
970,아시아나IDT,267850,B,C,B+,B,2024,pdf 다운로드
969,아시아나항공,020560,B+,A,A,B,2023,pdf 다운로드
968,아시아나항공,020560,B+,A,B+,B+,2024,pdf 다운로드
967,아이마켓코리아,122900,C,C,B+,C,2023,pdf 다운로드
966,아이마켓코리아,122900,B,C,B+,B,2024,pdf 다운로드
965,아이비케이연금보험,829322,등급없음,등급없음,등급없음,B,2023,
964,아이비케이연금보험,829322,등급없음,등급없음,등급없음,B,2024,
963,아이비케이캐피탈,828519,등급없음,등급없음,등급없음,B,2023,
962,아이비케이캐피탈,828519,등급없음,등급없음,등급없음,B,2024,
961,아이비케이투자증권,809467,등급없음,등급없음,등급없음,B,2023,
960,아이비케이투자증권,809467,등급없음,등급없음,등급없음,B,2024,
959,아이센스,099190,B,C,B+,B+,2024,pdf 다운로드
958,아이에스동서,010780,B+,B+,A,B+,2023,pdf 다운로드
957,아이에스동서,010780,C,B,B+,C,2024,pdf 다운로드
956,아이에이치큐,003560,D,D,C,D,2023,pdf 다운로드
955,아이에이치큐,003560,D,D,C,D,2024,pdf 다운로드
954,아이엠뱅크,005270,등급없음,등급없음,등급없음,B+,2024,
953,아이티엠반도체,084850,B+,B+,A,B,2023,pdf 다운로드
952,아이티엠반도체,084850,B+,B+,A,B,2024,pdf 다운로드
951,아주IB투자,027360,B,C,A,B,2023,pdf 다운로드
950,아주IB투자,027360,B,C,A,B,2024,pdf 다운로드
949,아주스틸,139990,C,C,C,C,2023,pdf 다운로드
948,아주스틸,139990,D,C,D,D,2024,pdf 다운로드
947,아진전자부품,009320,D,D,D,D,2024,pdf 다운로드
946,안랩,053800,B+,B+,A,B+,2023,pdf 다운로드
945,안랩,053800,A,B+,A+,B+,2024,pdf 다운로드
944,알루코,001780,D,C,C,D,2023,pdf 다운로드
943,알루코,001780,C,B,B,C,2024,pdf 다운로드
942,알테오젠,196170,C,D,B,C,2023,pdf 다운로드
941,알테오젠,196170,C,D,C,B,2024,pdf 다운로드
940,애경산업,018250,A,A,A+,A,2023,pdf 다운로드
939,애경산업,018250,A,A,A+,A,2024,pdf 다운로드
938,애경케미칼,161000,A,A,A,B+,2023,pdf 다운로드
937,애경케미칼,161000,B+,B+,A,B+,2024,pdf 다운로드
936,에넥스,011090,C,C,C,C,2023,pdf 다운로드
935,에넥스,011090,D,C,D,D,2024,pdf 다운로드
934,에스디바이오센서,137310,D,C,C,D,2023,pdf 다운로드
933,에스디바이오센서,137310,C,C,B,D,2024,pdf 다운로드
932,에스메디,118000,D,D,D,C,2023,pdf 다운로드
931,에스앤에스텍,101490,C,D,D,B+,2023,pdf 다운로드
930,에스앤에스텍,101490,C,D,D,B+,2024,pdf 다운로드
929,에스에프에이,056190,C,C,C,B,2023,pdf 다운로드
928,에스에프에이,056190,C,C,C,B,2024,pdf 다운로드
927,에스엘,005850,B+,B+,A,B+,2023,pdf 다운로드
926,에스엘,005850,B,B+,A,C,2024,pdf 다운로드
925,에스엠,041510,B+,A,A,B+,2023,pdf 다운로드
924,에스엠,041510,B+,A,B+,B+,2024,pdf 다운로드
923,에스엠벡셀,010580,D,D,C,C,2023,pdf 다운로드
922,에스엠벡셀,010580,D,D,D,C,2024,pdf 다운로드
921,에스엠코어,007820,C,D,C,B,2023,pdf 다운로드
920,에스엠코어,007820,C,D,C,C,2024,pdf 다운로드
919,에스원,012750,B+,B+,A,B+,2023,pdf 다운로드
918,에스원,012750,B+,B+,A,B+,2024,pdf 다운로드
917,에스제이엠,123700,C,C,C,C,2023,pdf 다운로드
916,에스제이엠,123700,C,C,C,C,2024,pdf 다운로드
915,에스제이엠홀딩스,025530,C,C,C,C,2023,
914,에스제이엠홀딩스,025530,C,C,C,C,2024,pdf 다운로드
913,에스제이지세종,033530,D,C,C,D,2023,pdf 다운로드
912,에스케이바이오팜,326030,A,B+,A+,A,2023,pdf 다운로드
911,에스케이바이오팜,326030,A,B+,A+,A,2024,pdf 다운로드
910,에스티큐브,052020,D,D,D,C,2023,pdf 다운로드
909,에스티큐브,052020,D,D,D,D,2024,pdf 다운로드
908,에스티팜,237690,A,A,A,A,2023,pdf 다운로드
907,에스티팜,237690,A,A,A+,B+,2024,pdf 다운로드
906,에스피지,058610,D,D,D,C,2024,pdf 다운로드
905,에쓰씨엔지니어링,023960,D,C,D,D,2023,pdf 다운로드
904,에쓰씨엔지니어링,023960,D,C,D,D,2024,pdf 다운로드
903,에어부산,298690,C,C,B,D,2023,pdf 다운로드
902,에어부산,298690,C,B+,B+,D,2024,pdf 다운로드
901,에이리츠,140910,C,D,D,B,2023,pdf 다운로드
900,에이리츠,140910,C,D,D,B,2024,pdf 다운로드
899,에이블씨엔씨,078520,C,C,B,C,2023,pdf 다운로드
898,에이블씨엔씨,078520,B+,B,B+,B+,2024,pdf 다운로드
897,에이비엘바이오,298380,C,D,D,B+,2023,pdf 다운로드
896,에이비엘바이오,298380,C,D,D,B+,2024,pdf 다운로드
895,에이비엘생명보험,804337,등급없음,등급없음,등급없음,B+,2023,
894,에이비엘생명보험,804337,등급없음,등급없음,등급없음,B+,2024,
893,에이스테크,088800,D,D,C,C,2023,pdf 다운로드
892,에이아이에이생명보험,801688,등급없음,등급없음,등급없음,B,2023,
891,에이아이에이생명보험,801688,등급없음,등급없음,등급없음,B,2024,
890,에이엔피,015260,D,C,D,D,2023,pdf 다운로드
889,에이엔피,015260,D,C,D,D,2024,pdf 다운로드
888,에이프로젠,007460,D,D,D,D,2023,pdf 다운로드
887,에이프로젠,007460,D,D,D,D,2024,pdf 다운로드
886,에이프로젠바이오로직스,003060,D,D,D,D,2023,pdf 다운로드
885,에이프로젠바이오로직스,003060,D,C,D,D,2024,pdf 다운로드
884,에이플러스에셋,244920,C,D,C,C,2023,pdf 다운로드
883,에이플러스에셋,244920,D,D,D,C,2024,pdf 다운로드
882,에치에프알,230240,D,D,D,D,2024,pdf 다운로드
881,에코마케팅,230360,C,D,C,B,2023,pdf 다운로드
880,에코마케팅,230360,C,D,D,B,2024,pdf 다운로드
879,에코프로,086520,C,B+,A,D,2023,
878,에코프로,086520,C,B,B+,D,2024,pdf 다운로드
877,에코프로비엠,247540,B,B+,A,C,2023,pdf 다운로드
876,에코프로비엠,247540,C,B,B+,D,2024,pdf 다운로드
875,에코프로에이치엔,383310,B,C,B,B+,2023,pdf 다운로드
874,에코프로에이치엔,383310,B,B,B,B+,2024,pdf 다운로드
873,에프에스티,036810,C,B+,B+,D,2023,pdf 다운로드
872,에프에스티,036810,C,C,D,C,2024,pdf 다운로드
871,엑시큐어하이트론,019490,D,C,D,D,2024,pdf 다운로드
870,엔씨소프트,036570,A,B+,A,A,2023,pdf 다운로드
869,엔씨소프트,036570,A,B+,A+,A,2024,pdf 다운로드
868,엔에이치농협캐피탈,806955,등급없음,등급없음,등급없음,A,2023,
867,엔에이치농협캐피탈,806955,등급없음,등급없음,등급없음,A,2024,
866,엔에이치엔,181710,A,B+,A+,A,2023,pdf 다운로드
865,엔에이치엔,181710,A,A,A+,A,2024,pdf 다운로드
864,엔케이,085310,C,D,C,C,2023,pdf 다운로드
863,엔케이,085310,D,D,D,D,2024,pdf 다운로드
862,엔케이맥스,182400,D,D,D,D,2023,pdf 다운로드
861,엔케이맥스,182400,D,D,D,D,2024,pdf 다운로드
860,엔켐,348370,C,C,C,C,2023,pdf 다운로드
859,엔켐,348370,D,C,C,D,2024,pdf 다운로드
858,엔피씨,004250,D,C,C,D,2023,pdf 다운로드
857,엔피씨,004250,D,C,C,D,2024,pdf 다운로드
856,엘앤씨바이오,290650,C,D,D,B+,2023,pdf 다운로드
855,엘앤씨바이오,290650,C,D,D,B+,2024,pdf 다운로드
854,엘앤에프,066970,C,B,B,C,2023,pdf 다운로드
853,엘앤에프,066970,B,B+,A,C,2024,pdf 다운로드
852,엘에스일렉트릭,010120,A,A,A+,A,2023,pdf 다운로드
